epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,586.678,0.59169,0.4047,0.85718,0.82908,0.89449,0.88917,0.6046,1.22603,0.70437,1.1416,0.000610789,0.000610789,0.000610789
66,595.725,0.57384,0.3993,0.85777,0.8529,0.89402,0.87343,0.60015,1.25109,0.74357,1.15255,0.000594286,0.000594286,0.000594286
67,604.829,0.56031,0.38564,0.85726,0.85596,0.85704,0.88946,0.61344,1.19025,0.70394,1.12623,0.000577782,0.000577782,0.000577782
68,613.73,0.56792,0.38993,0.85391,0.84223,0.90136,0.89217,0.63275,1.19694,0.71039,1.10932,0.000561279,0.000561279,0.000561279
69,622.562,0.56134,0.38571,0.85329,0.87491,0.87301,0.89722,0.60731,1.19194,0.69151,1.09633,0.000544776,0.000544776,0.000544776
70,631.337,0.55231,0.38136,0.84697,0.84141,0.93121,0.91709,0.62022,1.20818,0.72981,1.11358,0.000528272,0.000528272,0.000528272
71,640.05,0.54737,0.3806,0.84938,0.86379,0.88251,0.9012,0.61849,1.19245,0.73899,1.09517,0.000511769,0.000511769,0.000511769
72,649.203,0.55688,0.3811,0.85138,0.82031,0.89257,0.90302,0.61331,1.21898,0.72162,1.11912,0.000495266,0.000495266,0.000495266
73,658.276,0.53801,0.37019,0.84302,0.82137,0.91299,0.90374,0.6098,1.18536,0.72728,1.09901,0.000478762,0.000478762,0.000478762
74,667.341,0.52348,0.3645,0.83745,0.85074,0.91597,0.90868,0.61364,1.19868,0.72594,1.12622,0.000462259,0.000462259,0.000462259
75,676.336,0.53228,0.36802,0.85402,0.86583,0.94186,0.91605,0.60993,1.23516,0.68228,1.13962,0.000445756,0.000445756,0.000445756
76,685.395,0.52639,0.3655,0.84164,0.87437,0.84996,0.91643,0.61254,1.22686,0.69336,1.14951,0.000429253,0.000429253,0.000429253
77,694.186,0.51273,0.36345,0.84239,0.93471,0.8317,0.92272,0.63032,1.21983,0.65423,1.15046,0.000412749,0.000412749,0.000412749
78,703.007,0.48917,0.3602,0.84605,0.92089,0.87751,0.91605,0.6184,1.20969,0.65566,1.1139,0.000396246,0.000396246,0.000396246
79,711.918,0.50378,0.35144,0.84239,0.85372,0.93002,0.91213,0.61896,1.16589,0.68721,1.10532,0.000379743,0.000379743,0.000379743
80,721.093,0.50878,0.34912,0.84828,0.88009,0.89516,0.922,0.64534,1.16814,0.71002,1.10323,0.000363239,0.000363239,0.000363239
81,730.01,0.50215,0.3435,0.83925,0.88027,0.87129,0.90676,0.62735,1.17639,0.74139,1.09705,0.000346736,0.000346736,0.000346736
82,738.882,0.49123,0.34162,0.83812,0.8834,0.88795,0.90935,0.61302,1.20297,0.75819,1.1257,0.000330233,0.000330233,0.000330233
